epoch,edge_final_output_loss,edge_final_output_my_mean_iou,edge_side_output_1_loss,edge_side_output_1_my_mean_iou,edge_side_output_2_loss,edge_side_output_2_my_mean_iou,edge_side_output_3_loss,edge_side_output_3_my_mean_iou,edge_side_output_4_loss,edge_side_output_4_my_mean_iou,line_final_output_loss,line_final_output_my_mean_iou,line_side_output_1_loss,line_side_output_1_my_mean_iou,line_side_output_2_loss,line_side_output_2_my_mean_iou,line_side_output_3_loss,line_side_output_3_my_mean_iou,line_side_output_4_loss,line_side_output_4_my_mean_iou,loss,surface_final_output_loss,surface_final_output_my_mean_iou,surface_side_output_1_loss,surface_side_output_1_my_mean_iou,surface_side_output_2_loss,surface_side_output_2_my_mean_iou,surface_side_output_3_loss,surface_side_output_3_my_mean_iou,surface_side_output_4_loss,surface_side_output_4_my_mean_iou,surface_side_output_5_loss,surface_side_output_5_my_mean_iou,val_edge_final_output_loss,val_edge_final_output_my_mean_iou,val_edge_side_output_1_loss,val_edge_side_output_1_my_mean_iou,val_edge_side_output_2_loss,val_edge_side_output_2_my_mean_iou,val_edge_side_output_3_loss,val_edge_side_output_3_my_mean_iou,val_edge_side_output_4_loss,val_edge_side_output_4_my_mean_iou,val_line_final_output_loss,val_line_final_output_my_mean_iou,val_line_side_output_1_loss,val_line_side_output_1_my_mean_iou,val_line_side_output_2_loss,val_line_side_output_2_my_mean_iou,val_line_side_output_3_loss,val_line_side_output_3_my_mean_iou,val_line_side_output_4_loss,val_line_side_output_4_my_mean_iou,val_loss,val_surface_final_output_loss,val_surface_final_output_my_mean_iou,val_surface_side_output_1_loss,val_surface_side_output_1_my_mean_iou,val_surface_side_output_2_loss,val_surface_side_output_2_my_mean_iou,val_surface_side_output_3_loss,val_surface_side_output_3_my_mean_iou,val_surface_side_output_4_loss,val_surface_side_output_4_my_mean_iou,val_surface_side_output_5_loss,val_surface_side_output_5_my_mean_iou
0,0.38464540243148804,0.46529361605644226,3.5460915565490723,0.23957358300685883,1.3750168085098267,0.1289781928062439,0.4345964789390564,0.3301420211791992,0.35867035388946533,0.23812039196491241,0.8846167325973511,0.021213822066783905,3.295105457305908,0.26338765025138855,0.4971733093261719,0.13809984922409058,0.414603054523468,0.2381628155708313,0.34999990463256836,0.26530346274375916,4.429052829742432,0.9284912347793579,0.08582610636949539,1.2196413278579712,0.3922554850578308,0.39944490790367126,0.26249247789382935,0.38800469040870667,0.2101004272699356,0.35439544916152954,0.3029364347457886,0.3468845784664154,0.28729644417762756,0.3682335615158081,0.4838545322418213,3.3264968395233154,0.2590141296386719,0.7858349680900574,0.13035979866981506,0.38270848989486694,0.3314891457557678,0.355715811252594,0.24278077483177185,0.877320408821106,0.021944381296634674,3.0410802364349365,0.25978052616119385,0.48967552185058594,0.1489385962486267,0.3893083333969116,0.23765479028224945,0.348760724067688,0.2651638388633728,4.206661224365234,0.8869826793670654,0.07273919880390167,1.548355221748352,0.360188752412796,0.4005100131034851,0.23793326318264008,0.39228513836860657,0.21722839772701263,0.3543190062046051,0.2692306637763977,0.3469228744506836,0.2769280970096588
1,0.369916707277298,0.48556575179100037,3.5188755989074707,0.30632904171943665,0.7237021327018738,0.13697339594364166,0.38296014070510864,0.3340977430343628,0.355467289686203,0.24583877623081207,0.8572114109992981,0.022433176636695862,3.2392001152038574,0.2961322069168091,0.49556803703308105,0.13834525644779205,0.3881535530090332,0.2413814216852188,0.34868326783180237,0.2656189501285553,4.197897911071777,0.8387922048568726,0.0971572995185852,1.8386664390563965,0.3656606674194336,0.40439513325691223,0.23763135075569153,0.39362025260925293,0.22480052709579468,0.3549770414829254,0.2870233356952667,0.3468833863735199,0.28842777013778687,0.34962546825408936,0.49630939960479736,3.262066602706909,0.3215487003326416,0.42219239473342896,0.21897920966148376,0.3474513292312622,0.32903316617012024,0.35291582345962524,0.2505955696105957,0.8340458273887634,0.02438616193830967,2.9426286220550537,0.3136967718601227,0.48730823397636414,0.14908933639526367,0.3670846223831177,0.24355889856815338,0.3473007380962372,0.2656709551811218,4.010363578796387,0.8380323052406311,0.08427894115447998,1.7493151426315308,0.35792022943496704,0.4022549092769623,0.23278570175170898,0.40079715847969055,0.24088944494724274,0.354308545589447,0.26858606934547424,0.34688621759414673,0.2788360118865967
2,0.3497632145881653,0.4952221214771271,3.4496865272521973,0.3682502508163452,0.40887826681137085,0.25494101643562317,0.3462441861629486,0.3296257257461548,0.3528057634830475,0.25381484627723694,0.811592161655426,0.025395255535840988,3.130103588104248,0.35600745677948,0.49321702122688293,0.1386885643005371,0.36628058552742004,0.2479906529188156,0.34723934531211853,0.2663893401622772,3.9965877532958984,0.7996248602867126,0.10995933413505554,1.855351448059082,0.37551349401474,0.40389952063560486,0.24121764302253723,0.4023098349571228,0.24445752799510956,0.3548726439476013,0.2861837148666382,0.3468451499938965,0.2904014587402344,0.3330095112323761,0.4971711337566376,3.129901885986328,0.3748747408390045,0.35865941643714905,0.3330617845058441,0.3366149067878723,0.3200990557670593,0.3519195318222046,0.2531769573688507,0.7806951999664307,0.029398832470178604,2.791825771331787,0.37219658493995667,0.48465055227279663,0.14970435202121735,0.3576853573322296,0.24666789174079895,0.34634509682655334,0.2670976519584656,3.828354835510254,0.8289859294891357,0.09246060252189636,1.1935123205184937,0.4185386598110199,0.3973184823989868,0.2613901197910309,0.4080802798271179,0.2540077269077301,0.3538382649421692,0.26752349734306335,0.3468148112297058,0.2814442217350006
3,0.3331996500492096,0.4959256947040558,3.3115806579589844,0.4161718487739563,0.35684895515441895,0.3496313691139221,0.3366885781288147,0.3206012547016144,0.3517724573612213,0.25605469942092896,0.7572746872901917,0.03203042224049568,2.9628186225891113,0.40972408652305603,0.49043262004852295,0.1394128054380417,0.35762274265289307,0.25042834877967834,0.3463420867919922,0.26879480481147766,3.819957971572876,0.7987468242645264,0.11675944924354553,1.26960289478302,0.40049347281455994,0.39916351437568665,0.26139259338378906,0.4112880527973175,0.2550651431083679,0.35420554876327515,0.28559303283691406,0.3467765748500824,0.29292452335357666,0.32266533374786377,0.49748745560646057,2.886789560317993,0.41522255539894104,0.35118573904037476,0.3488161861896515,0.3381449580192566,0.3169022500514984,0.35094451904296875,0.2553417682647705,0.7238420844078064,0.052210483700037,2.5845766067504883,0.40679457783699036,0.4813055396080017,0.15099821984767914,0.35473722219467163,0.24703824520111084,0.3458265960216522,0.2698390483856201,3.6768298149108887,0.808695912361145,0.10270173102617264,0.9960142374038696,0.4245752990245819,0.3964139521121979,0.2646903097629547,0.4232092499732971,0.2678242325782776,0.3528980016708374,0.2675669193267822,0.3467267155647278,0.2845979928970337
4,0.32282841205596924,0.4961026608943939,3.0364441871643066,0.44890037178993225,0.35104459524154663,0.3617192208766937,0.33810609579086304,0.3172624111175537,0.35063597559928894,0.2575216293334961,0.7003492116928101,0.06561454385519028,2.7287139892578125,0.437296062707901,0.4871777594089508,0.140682652592659,0.3549254238605499,0.2503560781478882,0.34583812952041626,0.27104467153549194,3.6572937965393066,0.7596339583396912,0.1386353075504303,1.193691372871399,0.40344902873039246,0.3987158536911011,0.26353883743286133,0.43033644556999207,0.2683131694793701,0.35303205251693726,0.2857196033000946,0.3466970920562744,0.29593104124069214,0.3129197359085083,0.4973856508731842,2.303539514541626,0.44031596183776855,0.34995773434638977,0.3518577814102173,0.3402118384838104,0.30940282344818115,0.34939494729042053,0.2574632465839386,0.6672224402427673,0.106780506670475,2.299834966659546,0.4238986372947693,0.4777974486351013,0.15348884463310242,0.35381609201431274,0.2461540251970291,0.3454825282096863,0.27147340774536133,3.4704630374908447,0.7226005792617798,0.15753141045570374,1.284201979637146,0.4210130274295807,0.39678844809532166,0.26401543617248535,0.443191260099411,0.27723994851112366,0.3514445722103119,0.2688257396221161,0.34662729501724243,0.28802362084388733
5,0.3129139244556427,0.4961312413215637,2.146780490875244,0.46887919306755066,0.35021552443504333,0.3637389838695526,0.33967047929763794,0.31185007095336914,0.3490903079509735,0.2589294910430908,0.6442334055900574,0.12567833065986633,2.4043335914611816,0.45102784037590027,0.48437827825546265,0.1441424936056137,0.3540608286857605,0.2496621459722519,0.3455190062522888,0.2722790241241455,3.4279751777648926,0.6843674778938293,0.1965055614709854,1.4859905242919922,0.4001702666282654,0.39893272519111633,0.2637087106704712,0.4505905508995056,0.27678704261779785,0.3513931334018707,0.28702065348625183,0.34660375118255615,0.2991863489151001,0.31914541125297546,0.4974263608455658,0.3470871150493622,0.45262330770492554,0.35115480422973633,0.35017475485801697,0.34027761220932007,0.30894044041633606,0.34877437353134155,0.259615421295166,0.6138787865638733,0.15892212092876434,1.8322917222976685,0.4320795238018036,0.4733738601207733,0.16035105288028717,0.35371285676956177,0.24476978182792664,0.34528812766075134,0.27235379815101624,3.1393818855285645,0.6859645247459412,0.18783144652843475,1.2322841882705688,0.42227455973625183,0.39518633484840393,0.2747269868850708,0.4505886435508728,0.28122952580451965,0.34997183084487915,0.2696674168109894,0.34650614857673645,0.2913106679916382
6,0.3298255205154419,0.4961787760257721,0.24740929901599884,0.47671905159950256,0.3527209460735321,0.3597075939178467,0.3397664427757263,0.3084983229637146,0.34909799695014954,0.26149803400039673,0.5909331440925598,0.17975527048110962,1.8444784879684448,0.45717355608940125,0.4754165709018707,0.15276862680912018,0.3539547324180603,0.24816027283668518,0.3453916311264038,0.27332803606987,3.103761672973633,0.6584934592247009,0.2202715277671814,1.3330920934677124,0.40243470668792725,0.39682304859161377,0.27644556760787964,0.4562539756298065,0.28025639057159424,0.3498556315898895,0.2872568368911743,0.3464921712875366,0.3023604154586792,0.3391301929950714,0.4974517822265625,0.09760826081037521,0.4540395140647888,0.3577193021774292,0.33720752596855164,0.3387242555618286,0.31164368987083435,0.3494635224342346,0.26156121492385864,0.5566892027854919,0.2470102310180664,1.1089314222335815,0.4356206953525543,0.43563953042030334,0.19014358520507812,0.3534209132194519,0.24497444927692413,0.34486159682273865,0.27436724305152893,2.9608051776885986,0.6731338500976562,0.19195204973220825,1.011646032333374,0.4261731207370758,0.39212486147880554,0.29350289702415466,0.4460148811340332,0.2844139337539673,0.34883609414100647,0.27032122015953064,0.34636563062667847,0.2951012849807739
7,0.3439865708351135,0.4961879253387451,0.08724214136600494,0.47755056619644165,0.3618624806404114,0.3389891982078552,0.33786603808403015,0.31403353810310364,0.3497212529182434,0.26276862621307373,0.5313372015953064,0.29228535294532776,1.0504928827285767,0.4599331021308899,0.42555510997772217,0.20174863934516907,0.3533557653427124,0.2505550682544708,0.344837486743927,0.2749781608581543,2.9198453426361084,0.6455144286155701,0.22695785760879517,1.1498894691467285,0.40537917613983154,0.3939530551433563,0.2990257441997528,0.4503035545349121,0.283703476190567,0.3486699163913727,0.2880518436431885,0.3463606536388397,0.30569252371788025,0.33997562527656555,0.49743348360061646,0.08002018183469772,0.4542582333087921,0.3654019236564636,0.3174630105495453,0.3363351821899414,0.3179773986339569,0.34900912642478943,0.26204538345336914,0.5120096206665039,0.3530552089214325,0.5695066452026367,0.4364664554595947,0.39060115814208984,0.2620212435722351,0.3530529737472534,0.24815741181373596,0.34461671113967896,0.27779099345207214,2.8149027824401855,0.6388524770736694,0.2238127440214157,1.019342064857483,0.4254361391067505,0.3896845579147339,0.315918892621994,0.43473297357559204,0.2906371057033539,0.3480156660079956,0.2708911895751953,0.3462151885032654,0.2990567684173584
8,0.3437241017818451,0.4962919056415558,0.07687187939882278,0.47767406702041626,0.36992621421813965,0.3225364685058594,0.3356951177120209,0.319225549697876,0.34905296564102173,0.2633068859577179,0.4927414059638977,0.3824334442615509,0.5390357971191406,0.46057331562042236,0.38406211137771606,0.26796460151672363,0.3529375493526459,0.253616064786911,0.34462547302246094,0.27855587005615234,2.7856149673461914,0.6112934350967407,0.2643141448497772,1.1831214427947998,0.40405234694480896,0.39194586873054504,0.3126840889453888,0.4380108416080475,0.29006022214889526,0.3478725850582123,0.28859764337539673,0.3462252616882324,0.30931174755096436,0.3370882570743561,0.4974324405193329,0.07675148546695709,0.45430806279182434,0.3651936650276184,0.3191058337688446,0.33464449644088745,0.3216949999332428,0.34789007902145386,0.2628128230571747,0.48100152611732483,0.3848320543766022,0.3995676636695862,0.43759992718696594,0.3680652379989624,0.2839159071445465,0.35168853402137756,0.2516354024410248,0.3444022536277771,0.2807692289352417,2.7222578525543213,0.6007086634635925,0.2672581672668457,1.1016191244125366,0.4221704602241516,0.38816511631011963,0.32391756772994995,0.41832587122917175,0.30163106322288513,0.347495436668396,0.2719244956970215,0.3460572063922882,0.30334609746932983
9,0.34057292342185974,0.4962892234325409,0.0748576819896698,0.47770577669143677,0.36794424057006836,0.32598501443862915,0.3342627286911011,0.32204362750053406,0.34777870774269104,0.26391300559043884,0.46339187026023865,0.40604516863822937,0.3849562704563141,0.4616440236568451,0.36469483375549316,0.2944510877132416,0.3513220548629761,0.2574871778488159,0.34441474080085754,0.2814321517944336,2.7002058029174805,0.5786080956459045,0.30394017696380615,1.249576210975647,0.40135306119918823,0.39091169834136963,0.32144778966903687,0.4213176369667053,0.29997116327285767,0.34738293290138245,0.2897705137729645,0.34608569741249084,0.3130861222743988,0.33236876130104065,0.49743956327438354,0.07557307183742523,0.4543263614177704,0.3592779040336609,0.3324436545372009,0.33334481716156006,0.32375743985176086,0.3465666174888611,0.2636566460132599,0.45141494274139404,0.39330095052719116,0.32646143436431885,0.43936824798583984,0.3528727889060974,0.3006904721260071,0.35018280148506165,0.25620266795158386,0.3441713750362396,0.28316381573677063,2.6403520107269287,0.5780397653579712,0.2950797975063324,1.0464508533477783,0.4199129343032837,0.38652303814888,0.333985298871994,0.3990706205368042,0.318825900554657,0.3472140431404114,0.2727473974227905,0.34589138627052307,0.3082979619503021
